App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Descargas,Descargas2,Categoria,tamaño,tamaño2,Gratuito,tipo_contenido,Genero1,dias_sin_actualizar,meses_sin_actualizar,grupomeses,version_actual,grupoversiones,version_android,Genero2,media_inst_grp_ver,mediana_inst_grp_ver,med_versandroid
Download free book with green book,BOOKS_AND_REFERENCE,4.6,4478.0,9.5M,100000,Free,0.0,Everyone 10+,Books & Reference,2017-07-31,"1,1",4.0 and up,11.0,3.0,6.0,9500.0,2.0,1.0,5.0,6,2453,82.0,1.0,1,0.0,6,2.25,2,2,3.0
DG OFF - 100% Free Coupons & Deals,SHOPPING,5.0,1.0,1.1M,10,Free,0.0,Everyone,Shopping,2018-07-11,1,4.0 and up,3.0,0.0,27.0,1100.0,6.0,1.0,1.0,37,2108,70.0,5.0,1,0.0,6,3.3933333333333335,2,2,3.0
Pixel Z Gunner 3D - Battle Survival Fps,GAME,4.2,11408.0,96M,1000000,Free,0.0,Teen,Action,2018-07-06,"4,1",4.0 and up,13.0,4.0,30.0,96000.0,5.0,1.0,3.0,44,2113,70.0,5.0,4,2.0,6,3.6554621848739495,4,4,3.0
BN Pro White HD Text,LIBRARIES_AND_DEMO,4.1,120.0,782k,10000,Free,0.0,Everyone,Libraries & Demo,2017-02-05,2.3.2,1.6 and up,9.0,2.0,5.0,782.0,6.0,1.0,1.0,8,2629,88.0,0.0,2,1.0,0,2.370656370656371,3,3,2.0
Betting Tips / Sports Tips by CG Tipster,SPORTS,4.1,315.0,7.7M,10000,Free,0.0,Everyone,Sports,2018-07-18,"6,95",4.4 and up,9.0,2.0,20.0,7700.0,2.0,1.0,1.0,23,2101,70.0,5.0,6,2.0,11,2.823529411764706,4,4,3.0
VAT Checker for EU company,BUSINESS,4.7,78.0,Varies with device,1000,Free,0.0,Everyone,Business,2017-01-24,Varies with device,Varies with device,7.0,1.0,2.0,0.0,6.0,1.0,1.0,2,2641,88.0,0.0,100,2.0,13,1.6111111111111112,4,4,4.0
Fast Motorcycle Driver 2016,GAME,4.2,28151.0,49M,1000000,Free,0.0,Everyone 10+,Racing,2016-12-25,"1,2",2.3.3 and up,13.0,4.0,30.0,49000.0,5.0,1.0,5.0,46,2671,89.0,3.0,1,0.0,5,3.872093023255814,2,2,3.0
FR Forms,BUSINESS,0.0,0.0,9.6M,10,Free,0.0,Everyone,Business,2016-09-29,1.1.5,4.0 and up,3.0,0.0,2.0,9600.0,2.0,1.0,1.0,2,2758,92.0,0.0,1,0.0,6,1.6111111111111112,2,2,3.0
AE 3D Moto 3,GAME,3.9,2588.0,26M,100000,Free,0.0,Everyone 10+,Racing,2014-12-31,1.7.1,2.3 and up,11.0,3.0,30.0,26000.0,4.0,1.0,5.0,46,3396,113.0,1.0,1,0.0,12,3.872093023255814,2,2,3.0
"WPS Office - Word, Docs, PDF, Note, Slide & Sheet",PRODUCTIVITY,4.5,1507205.0,37M,100000000,Free,0.0,Everyone,Productivity,2018-07-30,11.1.3,4.0 and up,17.0,5.0,15.0,37000.0,4.0,1.0,1.0,18,2089,70.0,5.0,11,2.0,6,2.7002237136465324,4,4,3.0
"Time Planner - Schedule, To-Do List, Time Tracker",PRODUCTIVITY,4.2,2537.0,8.5M,500000,Free,0.0,Everyone,Productivity,2018-01-10,2.2 (Protostar),4.0 and up,12.0,3.0,15.0,8500.0,2.0,1.0,1.0,18,2290,76.0,3.0,2,1.0,6,2.7002237136465324,3,3,3.0
Gold Wallpapers,PERSONALIZATION,4.5,43.0,28M,10000,Free,0.0,Everyone,Personalization,2018-03-26,"1,1",4.0 and up,9.0,2.0,7.0,28000.0,4.0,1.0,1.0,9,2215,74.0,1.0,1,0.0,6,2.373076923076923,2,2,3.0
Wordscapes,GAME,4.8,230727.0,87M,10000000,Free,0.0,Everyone,Word,2018-08-02,1.0.47,4.1 and up,15.0,5.0,30.0,87000.0,5.0,1.0,1.0,40,2086,70.0,5.0,1,0.0,9,3.435233160621762,2,2,3.0
"Clean My House – Chore To Do List, Task Scheduler",PRODUCTIVITY,4.1,661.0,3.4M,100000,Free,0.0,Everyone,Productivity,2018-06-21,2.1.2,4.1 and up,11.0,3.0,15.0,3400.0,6.0,1.0,1.0,18,2128,71.0,4.0,2,1.0,9,2.7002237136465324,3,3,3.0
SavingStar - Grocery Coupons,SHOPPING,4.2,31519.0,21M,1000000,Free,0.0,Everyone,Shopping,2018-06-12,4.9.1,4.0 and up,13.0,4.0,27.0,21000.0,3.0,1.0,1.0,37,2137,71.0,4.0,4,2.0,6,3.3933333333333335,4,4,3.0
Perfect Viewer,COMICS,4.4,51981.0,Varies with device,5000000,Free,0.0,Everyone,Comics,2018-08-01,4.2.0.2,2.3 and up,14.0,4.0,16.0,0.0,6.0,1.0,1.0,19,2087,70.0,5.0,4,2.0,12,2.732075471698113,4,4,3.0
Blur Image - DSLR focus effect,PHOTOGRAPHY,3.9,38055.0,4.1M,5000000,Free,0.0,Everyone,Photography,2017-06-16,"1,17",4.0 and up,14.0,4.0,29.0,4100.0,1.0,1.0,1.0,43,2498,83.0,1.0,1,0.0,6,3.6265060240963853,2,2,3.0
Mingle - Online Dating App to Chat & Meet People,DATING,4.1,15081.0,38M,1000000,Free,0.0,Mature 17+,Dating,2018-07-26,4.7.6,4.1 and up,13.0,4.0,4.0,38000.0,4.0,1.0,2.0,5,2093,70.0,5.0,4,2.0,9,2.142857142857143,4,4,3.0
English with Lingualeo,EDUCATION,4.7,254519.0,27M,5000000,Free,0.0,Everyone,Education,2018-07-20,2.8.1,4.1 and up,14.0,4.0,31.0,27000.0,4.0,1.0,1.0,3,2099,70.0,5.0,2,1.0,9,2.057603686635945,3,3,3.0
"Eat Fast Prepare ""Without Internet""",FOOD_AND_DRINK,4.6,4925.0,17M,1000000,Free,0.0,Everyone,Food & Drink,2018-06-10,3.6.6,4.0.3 and up,13.0,4.0,24.0,17000.0,3.0,1.0,1.0,28,2139,71.0,4.0,3,1.0,7,3.013157894736842,3,3,2.0
Dragon BZ Super Wallpapers,FAMILY,4.2,12.0,13M,1000,Free,0.0,Everyone,Entertainment,2018-01-16,1,4.0.3 and up,7.0,1.0,12.0,13000.0,2.0,1.0,1.0,17,2284,76.0,3.0,1,0.0,7,2.6990131578947367,2,2,2.0
UFC,SPORTS,4.0,30840.0,Varies with device,1000000,Free,0.0,Teen,Sports,2018-05-22,Varies with device,Varies with device,13.0,4.0,20.0,0.0,6.0,1.0,3.0,23,2158,72.0,4.0,100,2.0,13,2.823529411764706,4,4,4.0
Clash of Axe: Flippy Lumberjack Action X,GAME,4.3,6.0,61M,1000,Free,0.0,Everyone,Action,2017-09-14,"1,2",4.0 and up,7.0,1.0,30.0,61000.0,5.0,1.0,1.0,44,2408,80.0,1.0,1,0.0,6,3.6554621848739495,2,2,3.0
"Ibotta: Cash Back Savings, Rewards & Coupons App",SHOPPING,4.5,315908.0,52M,10000000,Free,0.0,Everyone,Shopping,2018-08-01,5.21.1,4.1 and up,15.0,5.0,27.0,52000.0,5.0,1.0,1.0,37,2087,70.0,5.0,5,2.0,9,3.3933333333333335,4,4,3.0
Beauty Idol: Fashion Queen,GAME,4.3,128367.0,54M,1000000,Free,0.0,Everyone,Arcade,2017-10-27,2.1.0,4.0.3 and up,13.0,4.0,30.0,54000.0,5.0,1.0,1.0,42,2365,79.0,2.0,2,1.0,7,3.55188679245283,3,3,2.0
Eyeliner step by step 2018,BEAUTY,4.3,18.0,3.2M,5000,Free,0.0,Everyone,Beauty,2018-06-01,1.2.13,4.0.3 and up,8.0,1.0,10.0,3200.0,6.0,1.0,1.0,12,2148,72.0,4.0,1,0.0,7,2.5526315789473686,2,2,2.0
NUsport,SPORTS,3.3,1391.0,Varies with device,100000,Free,0.0,Everyone,Sports,2018-05-04,Varies with device,Varies with device,11.0,3.0,20.0,0.0,6.0,1.0,1.0,23,2176,73.0,2.0,100,2.0,13,2.823529411764706,4,4,4.0
"cm, mm to inch, feet converter tool",PRODUCTIVITY,4.3,176.0,2.3M,100000,Free,0.0,Everyone,Productivity,2016-09-27,"1,1",2.3.3 and up,11.0,3.0,15.0,2300.0,6.0,1.0,1.0,18,2760,92.0,0.0,1,0.0,5,2.7002237136465324,2,2,3.0
Learn Math with el Chavo,FAMILY,4.2,840.0,60M,100000,Free,0.0,Everyone,Education,2018-06-28,"1,1",4.1 and up,11.0,3.0,12.0,60000.0,5.0,1.0,1.0,3,2121,71.0,4.0,1,0.0,9,2.057603686635945,2,2,3.0
"Unlimited Group Links - Whatsapp, FB, Telegram",SOCIAL,3.4,44.0,2.8M,10000,Free,0.0,Mature 17+,Social,2018-07-03,4,4.0.3 and up,9.0,2.0,23.0,2800.0,6.0,1.0,2.0,26,2116,71.0,4.0,4,2.0,7,2.9078947368421053,4,4,2.0
Math games for kids : times tables training,FAMILY,4.5,630.0,8.3M,10000,Paid,1.59,Everyone,Educational;Education,2018-07-27,3.9.3,4.0.3 and up,9.0,2.0,12.0,8300.0,2.0,0.0,1.0,27,2092,70.0,5.0,3,1.0,7,2.9152542372881354,3,3,2.0
My G:,MAPS_AND_NAVIGATION,3.7,96.0,14M,10000,Free,0.0,Everyone,Maps & Navigation,2017-11-14,1.4.0,4.1 and up,9.0,2.0,18.0,14000.0,3.0,1.0,1.0,21,2347,78.0,2.0,1,0.0,9,2.7752293577981653,2,2,3.0
Skiplagged — Exclusive Flights & Hotels,TRAVEL_AND_LOCAL,4.6,10035.0,Varies with device,1000000,Free,0.0,Everyone,Travel & Local,2018-05-04,Varies with device,Varies with device,13.0,4.0,22.0,0.0,6.0,1.0,1.0,25,2176,73.0,2.0,100,2.0,13,2.892857142857143,4,4,4.0
PUBG MOBILE,GAME,4.4,3715656.0,36M,50000000,Free,0.0,Teen,Action,2018-07-24,0.7.0,4.3 and up,16.0,5.0,30.0,36000.0,4.0,1.0,3.0,44,2095,70.0,5.0,0,0.0,3,3.6554621848739495,2,2,2.0
love,PHOTOGRAPHY,4.3,42677.0,22M,1000000,Free,0.0,Everyone,Photography,2018-06-15,"1,28",4.0.3 and up,13.0,4.0,29.0,22000.0,3.0,1.0,1.0,43,2134,71.0,4.0,1,0.0,7,3.6265060240963853,2,2,2.0
Barclays US for Android,FINANCE,4.1,6998.0,24M,1000000,Free,0.0,Everyone,Finance,2018-08-01,6.29.37589,5.0 and up,13.0,4.0,8.0,24000.0,3.0,1.0,1.0,10,2087,70.0,5.0,6,2.0,10,2.4,4,4,3.0
CTRL-F - Search the real world,PRODUCTIVITY,4.4,607.0,37M,50000,Free,0.0,Everyone,Productivity,2016-07-24,"1,1",4.0.3 and up,10.0,2.0,15.0,37000.0,4.0,1.0,1.0,18,2825,94.0,2.0,1,0.0,7,2.7002237136465324,2,2,2.0
Redbox,ENTERTAINMENT,4.1,115033.0,30M,10000000,Free,0.0,Everyone,Entertainment,2018-07-02,7.5.0,5.0 and up,15.0,5.0,32.0,30000.0,4.0,1.0,1.0,17,2117,71.0,4.0,7,2.0,10,2.6990131578947367,4,4,3.0
Fever Care,MEDICAL,3.5,19.0,2.2M,5000,Free,0.0,Everyone,Medical,2018-05-12,1.4.15-free,4.0.3 and up,8.0,1.0,0.0,2200.0,6.0,1.0,1.0,0,2168,72.0,4.0,1,0.0,7,1.3285198555956679,2,2,2.0
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4.7,87510.0,8.7M,5000000,Free,0.0,Everyone,Art & Design,2018-08-01,1.2.4,4.0.3 and up,14.0,4.0,14.0,8700.0,2.0,1.0,1.0,16,2087,70.0,5.0,1,0.0,7,2.660377358490566,2,2,2.0
Elevator Simulator Lift EM ALL,FAMILY,4.4,2941.0,28M,100000,Free,0.0,Teen,Simulation,2018-07-31,2.4.1343-prod,4.0.3 and up,11.0,3.0,12.0,28000.0,4.0,1.0,3.0,34,2088,70.0,5.0,2,1.0,7,3.350515463917526,3,3,2.0
Blidz - Hunt Free Deals On Trending Items!,SHOPPING,4.4,1659.0,33M,50000,Free,0.0,Everyone,Shopping,2018-06-29,2.4.0,4.4 and up,10.0,2.0,27.0,33000.0,4.0,1.0,1.0,37,2120,71.0,4.0,2,1.0,11,3.3933333333333335,3,3,3.0
"Arizona Statutes, ARS (AZ Law)",BOOKS_AND_REFERENCE,3.9,9.0,8.8M,1000,Free,0.0,Everyone,Books & Reference,2017-10-18,"1,6",4.4 and up,7.0,1.0,6.0,8800.0,2.0,1.0,1.0,6,2374,79.0,2.0,1,0.0,11,2.25,2,2,3.0
e-Anatomy,MEDICAL,4.0,1545.0,74M,100000,Free,0.0,Everyone,Medical,2018-07-30,4.8.2,4.0.3 and up,11.0,3.0,0.0,74000.0,5.0,1.0,1.0,0,2089,70.0,5.0,4,2.0,7,1.3285198555956679,4,4,2.0
taxi.eu,TRAVEL_AND_LOCAL,4.1,1865.0,22M,100000,Free,0.0,Everyone,Travel & Local,2018-06-28,10.7.1388,4.4 and up,11.0,3.0,22.0,22000.0,3.0,1.0,1.0,25,2121,71.0,4.0,10,2.0,11,2.892857142857143,4,4,3.0
Ultimate Notepad,PRODUCTIVITY,4.0,10643.0,Varies with device,5000000,Free,0.0,Everyone,Productivity,2018-05-19,Varies with device,Varies with device,14.0,4.0,15.0,0.0,6.0,1.0,1.0,18,2161,72.0,4.0,100,2.0,13,2.7002237136465324,4,4,4.0
Faster for Facebook Lite,SOCIAL,4.3,24456.0,4.6M,1000000,Free,0.0,Teen,Social,2018-05-29,"4,7",4.1 and up,13.0,4.0,23.0,4600.0,1.0,1.0,3.0,26,2151,72.0,4.0,4,2.0,9,2.9078947368421053,4,4,3.0
Real Airplane Flight Simulator: Pilot Games,FAMILY,3.3,21735.0,37M,1000000,Free,0.0,Everyone,Simulation,2018-07-11,1.0.03,4.0 and up,13.0,4.0,12.0,37000.0,4.0,1.0,1.0,34,2108,70.0,5.0,1,0.0,6,3.350515463917526,2,2,3.0
Armani Exchange Connected,LIFESTYLE,4.1,305.0,44M,10000,Free,0.0,Everyone,Lifestyle,2017-07-04,1.5.0,4.4 and up,9.0,2.0,3.0,44000.0,4.0,1.0,1.0,4,2480,83.0,1.0,1,0.0,11,2.1333333333333333,2,2,3.0
Refreshing app Free application that can use deal coupons,FOOD_AND_DRINK,3.5,10741.0,41M,1000000,Free,0.0,Everyone,Food & Drink,2018-07-23,5.2.2,4.2 and up,13.0,4.0,24.0,41000.0,4.0,1.0,1.0,28,2096,70.0,5.0,5,2.0,8,3.013157894736842,4,4,3.0
Lab Values + Medical Reference,MEDICAL,4.5,133.0,2.8M,10000,Paid,2.99,Everyone,Medical,2014-08-02,3,2.3 and up,9.0,2.0,0.0,2800.0,6.0,0.0,1.0,0,3547,118.0,0.0,3,1.0,12,1.3285198555956679,3,3,3.0
EZ-Builder Mobile,FAMILY,4.3,51.0,57M,5000,Free,0.0,Everyone,Education,2018-04-02,2018.04.02.00,3.0 and up,8.0,1.0,12.0,57000.0,5.0,1.0,1.0,3,2208,74.0,1.0,20,1.0,2,2.057603686635945,3,3,2.0
Offroad Cruiser,FAMILY,4.3,42432.0,36M,1000000,Free,0.0,Everyone,Simulation,2016-07-13,"1,3",2.3.3 and up,13.0,4.0,12.0,36000.0,4.0,1.0,1.0,34,2836,95.0,3.0,1,0.0,5,3.350515463917526,2,2,3.0
Poker Pro.Fr,GAME,4.2,5442.0,17M,100000,Free,0.0,Teen,Card,2018-05-22,4.1.3,2.3 and up,11.0,3.0,30.0,17000.0,3.0,1.0,3.0,29,2158,72.0,4.0,4,2.0,12,3.058139534883721,4,4,3.0
EP Radio,FAMILY,5.0,3.0,154k,50,Free,0.0,Everyone,Entertainment,2018-03-26,1,3.0 and up,4.0,0.0,12.0,154.0,6.0,1.0,1.0,17,2215,74.0,1.0,1,0.0,2,2.6990131578947367,2,2,2.0
DRAGON QUEST II,FAMILY,4.5,2576.0,44M,10000,Paid,4.99,Everyone,Role Playing,2018-03-09,1.0.5,4.0 and up,9.0,2.0,12.0,44000.0,4.0,0.0,1.0,36,2232,74.0,1.0,1,0.0,6,3.391891891891892,2,2,3.0
BV Bombers,SPORTS,0.0,0.0,12M,100,Free,0.0,Everyone,Sports,2017-01-31,7.1.5,4.0 and up,5.0,0.0,20.0,12000.0,2.0,1.0,1.0,23,2634,88.0,0.0,7,2.0,6,2.823529411764706,4,4,3.0
Portable Wi-Fi hotspot Free,COMMUNICATION,4.0,1711.0,2.1M,100000,Free,0.0,Everyone,Communication,2018-01-11,1.2.5.4-11,2.3 and up,11.0,3.0,21.0,2100.0,6.0,1.0,1.0,24,2289,76.0,3.0,1,0.0,12,2.889502762430939,2,2,3.0
Ladies' Ab Workout FREE,HEALTH_AND_FITNESS,4.0,12906.0,8.5M,1000000,Free,0.0,Everyone,Health & Fitness,2012-10-08,"1,01",2.1 and up,13.0,4.0,17.0,8500.0,2.0,1.0,1.0,20,4210,140.0,5.0,1,0.0,4,2.7560975609756095,2,2,2.0
IV Go（get IV for Pokemon）,GAME,4.6,132282.0,20M,1000000,Free,0.0,Everyone,Adventure,2018-07-31,15,4.1 and up,13.0,4.0,30.0,20000.0,3.0,1.0,1.0,32,2088,70.0,5.0,15,1.0,9,3.292307692307692,3,3,3.0
Sounds for Toddlers FREE,FAMILY,4.4,6190.0,23M,1000000,Free,0.0,Everyone,Educational;Education,2015-08-24,1.7.1,4.0 and up,13.0,4.0,12.0,23000.0,3.0,1.0,1.0,27,3160,105.0,2.0,1,0.0,6,2.9152542372881354,2,2,3.0
S Launcher for Galaxy TouchWiz,PERSONALIZATION,4.2,11244.0,2.2M,1000000,Free,0.0,Everyone,Personalization,2018-06-12,1.1.1,4.1 and up,13.0,4.0,7.0,2200.0,6.0,1.0,1.0,9,2137,71.0,4.0,1,0.0,9,2.373076923076923,2,2,3.0
Training schedule - AllUniver,EDUCATION,4.1,702.0,7.6M,10000,Free,0.0,Everyone,Education,2017-10-16,5,4.4 and up,9.0,2.0,31.0,7600.0,2.0,1.0,1.0,3,2376,79.0,2.0,5,2.0,11,2.057603686635945,4,4,3.0
Fun Kid Racing,FAMILY,4.0,79667.0,Varies with device,10000000,Free,0.0,Everyone,Racing;Action & Adventure,2018-08-03,"3,52",4.2 and up,15.0,5.0,12.0,0.0,6.0,1.0,1.0,46,2085,70.0,5.0,3,1.0,8,3.872093023255814,3,3,3.0
LabCorp | Patient,MEDICAL,3.6,27.0,28M,10000,Free,0.0,Everyone,Medical,2018-04-19,1.0.0,4.1 and up,9.0,2.0,0.0,28000.0,4.0,1.0,1.0,0,2191,73.0,2.0,1,0.0,9,1.3285198555956679,2,2,3.0
Draw.ly - Color by Number Pixel Art Coloring,FAMILY,4.4,18616.0,10M,1000000,Free,0.0,Everyone,Casual;Education,2018-08-05,1.0.9,4.0.3 and up,13.0,4.0,12.0,10000.0,2.0,1.0,1.0,38,2083,69.0,5.0,1,0.0,7,3.396039603960396,2,2,2.0
Offroad Outlaws,GAME,4.4,29168.0,Varies with device,1000000,Free,0.0,Everyone,Racing,2018-05-29,2.0.1,4.1 and up,13.0,4.0,30.0,0.0,6.0,1.0,1.0,46,2151,72.0,4.0,2,1.0,9,3.872093023255814,3,3,3.0
British Airways,TRAVEL_AND_LOCAL,4.2,25740.0,51M,1000000,Free,0.0,Everyone,Travel & Local,2018-07-24,"4,2",4.4 and up,13.0,4.0,22.0,51000.0,5.0,1.0,1.0,25,2095,70.0,5.0,4,2.0,11,2.892857142857143,4,4,3.0
"Mind Map AR, Augmented Reality ARCore Mind Mapping",PRODUCTIVITY,4.2,29.0,35M,5000,Free,0.0,Everyone,Productivity,2018-07-26,"1,23",7.0 and up,8.0,1.0,15.0,35000.0,4.0,1.0,1.0,18,2093,70.0,5.0,1,0.0,2,2.7002237136465324,2,2,2.0
AP Flashcards,FAMILY,3.7,88.0,41M,10000,Free,0.0,Everyone,Education,2015-08-30,1.3.14,3.1 and up,9.0,2.0,12.0,41000.0,4.0,1.0,1.0,3,3154,105.0,2.0,1,0.0,2,2.057603686635945,2,2,2.0
BTS V Kim Taehyung Wallpapers Kpop HD New,PERSONALIZATION,4.8,51.0,3.4M,5000,Free,0.0,Everyone,Personalization,2018-06-10,1.1.1,4.0 and up,8.0,1.0,7.0,3400.0,6.0,1.0,1.0,9,2139,71.0,4.0,1,0.0,6,2.373076923076923,2,2,3.0
Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,805.0,5.6M,50000,Free,0.0,Everyone,Auto & Vehicles,2018-07-29,2.5.1,4.4 and up,10.0,2.0,9.0,5600.0,1.0,1.0,1.0,11,2090,70.0,5.0,2,1.0,11,2.4857142857142858,3,3,3.0
DL Image Manager,PRODUCTIVITY,5.0,2.0,1.7M,10,Paid,0.99,Everyone,Productivity,2018-07-29,1.0.5,4.0 and up,3.0,0.0,15.0,1700.0,6.0,0.0,1.0,18,2090,70.0,5.0,1,0.0,6,2.7002237136465324,2,2,3.0
Robot Fighting Games™ - Real Boxing Champions 3D,GAME,4.4,30.0,47M,5000,Free,0.0,Everyone,Action,2018-07-02,"1,1",4.1 and up,8.0,1.0,30.0,47000.0,5.0,1.0,1.0,44,2117,71.0,4.0,1,0.0,9,3.6554621848739495,2,2,3.0
Grenada Co-operative Bank,FINANCE,4.4,137.0,400k,10000,Free,0.0,Everyone,Finance,2013-06-26,2.4.3,1.6 and up,9.0,2.0,8.0,400.0,6.0,1.0,1.0,10,3949,132.0,2.0,2,1.0,0,2.4,3,3,2.0
Driving School 3D 2017,FAMILY,3.9,5075.0,48M,500000,Free,0.0,Everyone,Simulation,2017-04-04,2.1.5,3.0 and up,12.0,3.0,12.0,48000.0,5.0,1.0,1.0,34,2571,86.0,1.0,2,1.0,2,3.350515463917526,3,3,2.0
Merge Dragons!,GAME,4.5,214777.0,91M,5000000,Free,0.0,Everyone,Puzzle,2018-07-30,3.6.0,4.1 and up,14.0,4.0,30.0,91000.0,5.0,1.0,1.0,35,2089,70.0,5.0,3,1.0,9,3.361963190184049,3,3,3.0
Photo Collage Maker,PHOTOGRAPHY,4.3,751766.0,Varies with device,10000000,Free,0.0,Everyone,Photography,2018-05-10,Varies with device,Varies with device,15.0,5.0,29.0,0.0,6.0,1.0,1.0,43,2170,72.0,4.0,100,2.0,13,3.6265060240963853,4,4,4.0
EY TaxChat,FINANCE,1.2,44.0,27M,1000,Free,0.0,Everyone,Finance,2018-04-09,3.24.0,6.0 and up,7.0,1.0,8.0,27000.0,4.0,1.0,1.0,10,2201,73.0,2.0,3,1.0,2,2.4,3,3,2.0
U Pull It Auto Dismantler,BUSINESS,3.1,71.0,1.9M,10000,Free,0.0,Everyone,Business,2013-05-14,1,1.6 and up,9.0,2.0,2.0,1900.0,6.0,1.0,1.0,2,3992,133.0,0.0,1,0.0,0,1.6111111111111112,2,2,2.0
DreamMapper,MEDICAL,4.2,10710.0,8.5M,100000,Free,0.0,Everyone,Medical,2018-07-03,"2,15",5.0 and up,11.0,3.0,0.0,8500.0,2.0,1.0,1.0,0,2116,71.0,4.0,2,1.0,10,1.3285198555956679,3,3,3.0
Bee'ah Employee App,COMMUNICATION,4.0,4.0,5.4M,100,Free,0.0,Teen,Communication,2017-12-24,2.26.5.0,5.0 and up,5.0,0.0,21.0,5400.0,1.0,1.0,3.0,24,2307,77.0,3.0,2,1.0,10,2.889502762430939,3,3,3.0
Cy-Reader,FAMILY,4.8,17.0,15M,100,Free,0.0,Everyone,Education,2018-08-03,"1,7",4.2 and up,5.0,0.0,12.0,15000.0,3.0,1.0,1.0,3,2085,70.0,5.0,1,0.0,8,2.057603686635945,2,2,3.0
BURGER KING® App,LIFESTYLE,4.0,41747.0,39M,5000000,Free,0.0,Everyone,Lifestyle,2017-01-12,3.7.1,4.1 and up,14.0,4.0,3.0,39000.0,4.0,1.0,1.0,4,2653,88.0,0.0,3,1.0,9,2.1333333333333333,3,3,3.0
RadRevision: Anatomy on CT,MEDICAL,3.8,568.0,42M,50000,Free,0.0,Everyone,Medical,2014-01-22,"1,2",4.0 and up,10.0,2.0,0.0,42000.0,4.0,1.0,1.0,0,3739,125.0,2.0,1,0.0,6,1.3285198555956679,2,2,3.0
Advanced EX for MITSUBISHI,TOOLS,2.9,33.0,141k,1000,Paid,4.99,Everyone,Tools,2015-08-21,"1,1",1.6 and up,7.0,1.0,13.0,141.0,6.0,0.0,1.0,15,3163,105.0,2.0,1,0.0,0,2.66,2,2,2.0
